Name;Street;Neighborhood;City;Rating;Number of Reviews;Place ID;Type;Latitude;Longitude
Mania pet tatetos;;;;4.8;46.0;ChIJ9_OFDWQ_zpQRS1pk4OYHHeg;pet_store;-23.8243565;-46.5673697
Beleza Animal;Rua Frei Angelico Manetti, 116;Jardim Tupã;São Bernardo do Campo;5.0;1.0;ChIJ3X2K2IQ_zpQRZbYRRPVtnT8;pet_store;-23.7928785;-46.5471071
ParaSeuMelhorAmigo;Estrada do Rio Acima, 1938;Riacho Grande;São Bernardo do Campo;4.7;50.0;ChIJF37I14w_zpQRXcdyz7K-WzE;pet_store;-23.78759909999999;-46.53600669999999
Pet Rizzo Riacho - Banho e Tosa;Estrada do Rio Acima, 1693;Riacho Grande;São Bernardo do Campo;4.9;151.0;ChIJx0D8erk_zpQRxkPdCB-2h08;pet_store;-23.7874883;-46.5345842
Casa de Ração da Lia;;;;5.0;10.0;ChIJ4V9m3kUVzpQR_-rpQGBBOuk;pet_store;-23.7859117;-46.5043658
Veterinary Clinic Riacho Grande;Estrada do Rio Acima, 765;Riacho Grande;São Bernardo do Campo;4.7;159.0;ChIJvc83UfQ_zpQRDox3xXhvUT4;veterinary_care;-23.7821859;-46.53229229999999
Toca de Francisco;Rua Antônio Caputo, 275;Rio Grande;São Bernardo do Campo;4.8;129.0;ChIJxxL4CvY_zpQREc0sOYhd_yg;veterinary_care;-23.7799052;-46.5305825
Estoril PEt;Rua Aljubarrota, 821;Parque Estoril;São Bernardo do Campo;5.0;30.0;ChIJ59fSOrQ_zpQRXPTcOM2zlSs;pet_store;-23.7766132;-46.5172585
Amor&Mel PetShop;;;;5.0;1.0;ChIJkTh_p9k_zpQR3mIhsp9OnEg;pet_store;-23.7759177;-46.51726900000001
Rações Morango;Rua Cruzeiro do Oeste, 154;Parque Andreense;Santo André;4.6;57.0;ChIJAR-H2NoUzpQRcDwhaUgHBAs;pet_store;-23.7687938;-46.46892020000001
Bolas Pet Cristal Pet;Rua Pacaembu, 87;Parque América;Rio Grande da Serra;5.0;1.0;ChIJSd4FHgETzpQR7QPADI198Qg;pet_store;-23.7640901;-46.41023269999999
Pet Shop Scooby Doo;;;;5.0;1.0;ChIJB1AjnyZBzpQRqvT_AIR8uVQ;pet_store;-23.7535043;-46.5801714
