Place ID;Place Name;Review ID;Author;Rating;Text;Review Length;Word Count;Time;Date;Response
ChIJ9_OFDWQ_zpQRS1pk4OYHHeg;Mania pet tatetos;Cleber Nilda_1729689410;Cleber Nilda;5;Vende diversas coisas para cão, gato, aves, ótimo atendimento, o casal é gente fina, quem for comprar com eles, não se arrependerão e vosso animalzinho ou ave agradece! 🤗🤗🤗🤗🤗🤗;175;29;1729689410;2024-10-23 10:16:50;pt
ChIJ9_OFDWQ_zpQRS1pk4OYHHeg;Mania pet tatetos;Domini Ryan_1723317181;Domini Ryan;5;Atendimento espetacular preços super acessíveis muitas variedades de produtos opções nota 10 recomendo 🫶🏻;105;14;1723317181;2024-08-10 16:13:01;pt
ChIJ9_OFDWQ_zpQRS1pk4OYHHeg;Mania pet tatetos;Sandra Alves de Souza Correia_1729731808;Sandra Alves de Souza Correia;5;Ótimo atendimento, encontro tudo que sempre procuro,loja bem localizada e o melhor, ótimos preços.;98;14;1729731808;2024-10-23 22:03:28;pt
ChIJ9_OFDWQ_zpQRS1pk4OYHHeg;Mania pet tatetos;Bruno Souza Correia_1729723209;Bruno Souza Correia;5;Ótimo atendimento, preço justo, encontro de tudo lá!;52;8;1729723209;2024-10-23 19:40:09;pt
ChIJ9_OFDWQ_zpQRS1pk4OYHHeg;Mania pet tatetos;Zulmira Ribeiro_1729724704;Zulmira Ribeiro;5;Atendimento maravilhoso, loja bem organizada e com bastante variedades.;71;9;1729724704;2024-10-23 20:05:04;pt
ChIJ3X2K2IQ_zpQRZbYRRPVtnT8;Beleza Animal;Ednei Sanches_1672769572;Ednei Sanches;5;Marley adorou;13;2;1672769572;2023-01-03 15:12:52;pt
ChIJF37I14w_zpQRXcdyz7K-WzE;ParaSeuMelhorAmigo;Graziela Lopes_1721993538;Graziela Lopes;3;Gostei do trabalho porém não gostei do julgamento. Pois fiz um resgate de um animal em maus tratos a dona do pet me esculachou me acusando q eu iria deixar o animal lá e teria sido eu q deixei no estado q se encontrava. Sendo q jamais eu maltrataria qq animal irracional.;271;52;1721993538;2024-07-26 08:32:18;pt
ChIJF37I14w_zpQRXcdyz7K-WzE;ParaSeuMelhorAmigo;DjPanico 4u_1703421916;DjPanico 4u;5;"Ótimo atendimento,
Meu cachorro sempre bem cuidado pelo Júnior e equipe
Obrigado.";81;12;1703421916;2023-12-24 09:45:16;pt
ChIJF37I14w_zpQRXcdyz7K-WzE;ParaSeuMelhorAmigo;Marly Martines_1703412938;Marly Martines;5;Meu BB,sempre tratado com carinho e mto profissionalismo.;57;8;1703412938;2023-12-24 07:15:38;pt
ChIJF37I14w_zpQRXcdyz7K-WzE;ParaSeuMelhorAmigo;Policlinica Veterinária Riacho Grande_1650378486;Policlinica Veterinária Riacho Grande;5;Sempre confiei meus cães ao trabalho do Junior e equipe e recomendo de olhos fechados;85;15;1650378486;2022-04-19 11:28:06;pt
ChIJF37I14w_zpQRXcdyz7K-WzE;ParaSeuMelhorAmigo;Carolaine Mendes_1703425753;Carolaine Mendes;5;Amo o atendimento do Júnior e sua equipe , sempre tratam meus animais com muito cuidado e amor 😍 super indico;109;21;1703425753;2023-12-24 10:49:13;pt
ChIJx0D8erk_zpQRxkPdCB-2h08;Pet Rizzo Riacho - Banho e Tosa;Carla Aliandra Porto Alves Tavares_1732827706;Carla Aliandra Porto Alves Tavares;5;Só amei conhecer , não só eu como meu cachorro, ele ama a Renata e ela desde o primeiro banho me passou segurança. Ela tem carinho pelos bichinhos e paciência com eles, isso a torna especial. Meu cachorro era super mau humorado não deixava nem pegar nas patinhas dele,  no segundo banho ela diz já disse que está um príncipe 🥰 gratidão 🙏🏻;338;63;1732827706;2024-11-28 18:01:46;pt
ChIJx0D8erk_zpQRxkPdCB-2h08;Pet Rizzo Riacho - Banho e Tosa;VINICIUS SILVA DE ARAGAO_1739448329;VINICIUS SILVA DE ARAGAO;5;A MELHOR DA REGIÃO, um carinho excepcional, uma atenção extraordinária, recomendo de olhos fechados, amo muito o trabalho das meninas ❤️;136;21;1739448329;2025-02-13 09:05:29;pt
ChIJx0D8erk_zpQRxkPdCB-2h08;Pet Rizzo Riacho - Banho e Tosa;camila soares_1738668438;camila soares;5;Excelente atendimento cuidaram muito bem do meu doguinho, super recomendo!!!  ❤;79;11;1738668438;2025-02-04 08:27:18;pt
ChIJx0D8erk_zpQRxkPdCB-2h08;Pet Rizzo Riacho - Banho e Tosa;Maria Prazeres_1695239423;Maria Prazeres;5;Foi maravilhoso, O atendimento melhor ainda, os cachorros saíram de lá lindos, e ainda dão uma atenção para cada pet!;117;20;1695239423;2023-09-20 16:50:23;pt
ChIJx0D8erk_zpQRxkPdCB-2h08;Pet Rizzo Riacho - Banho e Tosa;Thiago Zanardo de Oliveira_1725893471;Thiago Zanardo de Oliveira;1;"Definitivamente não conseguimos falar com vocês. Tentamos via whatsapp e telefone e nada. No whatsapp as respostas demoraram até 2 dias para responderem.
Até o momento não consegui agendar o banho do nosso pet.
Atendimento precário. Não recomendo.";247;38;1725893471;2024-09-09 11:51:11;pt
ChIJ4V9m3kUVzpQR_-rpQGBBOuk;Casa de Ração da Lia;Michelle Duran_1731968884;Michelle Duran;5;Atendimento maravilhoso, com ótimos produtos e preço justo;58;8;1731968884;2024-11-18 19:28:04;pt
ChIJ4V9m3kUVzpQR_-rpQGBBOuk;Casa de Ração da Lia;Carlos Antonio_1726958543;Carlos Antonio;5;Muito bom .atendimento top;26;4;1726958543;2024-09-21 19:42:23;pt
